Year;Problem #;Is_visual;is_MC;GPT-4o;GPT-4;CoPilot
2019;13;1;0;0;0;0
2019;14;0;0;0;0;0
2019;15;1;0;0;0;0
2019;16;0;0;1;1;1
2019;17;0;0;0;0;0
2019;18;1;0;0;0;0
2019;19;0;0;0;0;0
2019;20;1;0;0;0;0
2020;1;1;1;1;1;0
2020;2;1;1;0;1;0
2020;3;1;1;1;1;1
2020;4;0;1;1;1;0
2020;5;1;1;0;0;1
2020;6;0;1;0;0;0
2020;7;0;1;1;1;1
2020;8;0;1;0;1;0
2020;9;0;1;0;1;1
2020;10;0;1;1;0;0
2020;11;0;0;0;0;1
2020;12;1;0;0;0;0
2020;13;1;0;0;0;0
2020;14;1;0;0;0;0
2020;15;0;0;0;0;0
2020;16;1;0;0;0;0
2020;17;0;0;0;0;0
2020;18;1;0;0;0;0
2020;19;1;0;0;0;1
2020;20;0;0;0;0;0
2021;1;1;1;0;0;0
2021;2;0;1;0;0;0
2021;3;1;1;1;1;0
2021;4;0;1;0;1;1
2021;5;0;1;0;0;0
2021;6;0;1;1;1;1
2021;7;0;1;1;0;0
2021;8;1;1;0;0;0
2021;9;0;1;0;0;0
2021;10;1;1;0;0;0
2021;11;1;0;0;0;0
2021;12;1;0;1;1;0
2021;13;0;0;0;0;0
2021;14;0;0;0;1;1
2021;15;0;0;0;0;0
2021;16;1;0;0;0;0
2021;17;1;0;0;0;0
2021;18;1;0;0;0;0
2021;19;0;0;0;0;0
2021;20;1;0;0;0;0
2022;1;0;1;0;0;0
2022;2;1;1;0;1;0
2022;3;1;1;0;0;0
2022;4;1;1;0;0;0
2022;5;0;1;0;0;0
2022;6;0;1;0;1;0
2022;7;1;1;1;0;0
2022;8;0;1;0;1;0
2022;9;1;1;0;0;0
2022;10;0;1;1;0;0
2022;11;0;0;0;0;1
2022;12;1;0;0;0;0
2022;13;0;0;1;1;1
2022;14;0;0;0;0;0
2022;15;1;0;0;0;0
2022;16;0;0;0;0;0
2022;17;1;0;0;0;0
2022;18;0;0;1;1;0
2022;19;0;0;0;1;1
2022;20;0;0;0;0;0
2023;1;1;1;0;1;0
2023;2;0;1;0;0;0
2023;3;1;1;0;0;0
2023;4;0;1;0;0;0
2023;5;1;1;1;1;1
2023;6;0;1;0;0;0
2023;7;1;1;0;0;0
2023;8;1;1;0;0;0
2023;9;0;1;1;1;1
2023;10;1;1;1;1;1
2023;11;0;0;0;1;0
2023;12;1;0;1;0;0
2023;13;0;0;0;0;0
2023;14;1;0;1;1;0
2023;15;1;0;0;0;0
2023;16;0;0;0;1;0
2023;17;0;0;0;0;0
2023;18;0;0;0;0;0
2023;19;0;0;0;0;0
2023;20;1;0;0;0;0
2024;1;1;1;0;0;1
2024;2;1;1;1;1;0
2024;3;0;1;0;0;1
2024;4;1;1;0;0;0
2024;5;1;1;0;0;1
2024;6;0;1;0;0;0
2024;7;1;1;0;0;1
2024;8;1;1;0;0;0
2024;9;0;1;0;0;0
2024;10;1;1;1;0;0
2024;11;0;0;0;0;0
2024;12;0;0;0;1;0
2024;13;1;0;0;0;1
2024;14;0;0;0;0;0
2024;15;0;0;0;0;0
2024;16;1;0;0;0;0
2024;17;0;0;0;0;0
2024;18;1;0;0;0;0
2024;19;0;0;1;0;0
2024;20;1;0;0;0;0
